CoreID,Top,Bottom,Element,meanconc,SD2,N
ZH-16-10,6,6.5,Cd,54.62160797882245,,1
ZH-16-10,0,0.5,Co,0,,1
ZH-16-10,8,8.5,Cr,1032.9641433505462,42.42852431216296,3
ZH-16-10,8,8.5,Cu,1821.7924261792411,83.32690798464684,3
ZH-16-10,8,8.5,Fe,20183.20033765076,721.7258774101051,3
ZH-16-10,15,15.5,Mn,372.5847368142312,,1
ZH-16-10,15,15.5,Ni,17.42394485224601,,1
ZH-16-10,8,8.5,Pb,9991.526712612032,366.6249575899003,3
ZH-16-10,8,8.5,Sn,243.059268572971,9.51384672221563,3
ZH-16-10,6,6.5,Zn,4621.677587817686,,1
ZH-16-11,0,0.5,Cd,0,,1
ZH-16-11,40,40.5,Co,0.32224102515120695,,1
ZH-16-11,9,9.5,Cr,194.5227638143875,,1
ZH-16-11,11,11.5,Cu,238.09876953598956,37.76871060024705,3
ZH-16-11,35,35.5,Fe,24476.388202159153,,1
ZH-16-11,35,35.5,Mn,536.568900399765,,1
ZH-16-11,40,40.5,Ni,37.46098987376412,,1
ZH-16-11,10,10.5,Pb,1138.4146505123138,221.39741697134056,3
ZH-16-11,40,40.5,Sn,327.1039468111153,,1
ZH-16-11,7,7.5,Zn,811.0851234271511,133.85232684295303,3
